Actual,Predicted
182.0399932861328,183.7375188306071
115.66999816894533,131.02503131406897
214.2100067138672,221.01600252201013
115.8499984741211,115.08228444762369
172.49000549316406,184.29028367451028
164.66000366210938,153.3667647560029
191.50999450683597,246.06802582565024
220.92999267578125,227.4022335544027
243.44000244140625,248.68518425435252
188.75,201.69919544973922
170.6199951171875,170.9678418755302
113.0500030517578,133.27849895569193
169.89999389648438,170.68003301398454
126.19000244140624,120.75788620019188
166.75,153.01920819657832
114.7699966430664,130.62696499738135
179.05999755859375,176.34527148483528
121.7699966430664,121.30177913335905
398.5700073242188,351.4915569853011
115.77999877929688,158.10329288713925
243.4900054931641,252.6832784730865
161.52999877929688,164.9883530193983
232.3500061035156,226.15683427417704
119.94000244140624,139.5052648603684
183.75,158.4953408554171
389.0499877929688,337.98094067098197
114.5199966430664,128.09072965442445
154.64999389648438,150.51330562459572
182.32000732421875,198.55928186557395
143.6999969482422,146.79265111457028
307.5899963378906,284.7148317323259
167.7899932861328,152.82547307507244
221.22000122070312,237.55941429345967
183.5,158.12152903703273
170.25999450683594,169.86069870753735
187.6000061035156,197.3948499909538
133.4199981689453,147.45364433563665
107.58999633789062,111.79938139514312
158.5399932861328,171.84064928269794
183.7700042724609,209.43911375457793
255.17999267578125,233.118877092726
188.58999633789065,197.49078314328008
399.0199890136719,327.19692535773476
179.89999389648438,162.64871872269194
167.0399932861328,159.38605797160685
167.47999572753906,149.86832742411136
385.4200134277344,319.44080732193095
178.3800048828125,178.8539471208317
115.13999938964844,132.2113349405796
179.94000244140625,281.693630230147
138.6199951171875,137.8723552903912
174.0500030517578,150.05585570686685
114.16999816894533,129.05378045704515
168.83999633789062,170.2292140791805
140.69000244140625,136.86316802473922
220.6300048828125,229.46811326431535
183.88999938964844,157.02380913137242
200.3500061035156,212.62230541382306
157.49000549316406,164.7116790616857
170.33999633789062,148.10085893818643
164.10000610351562,175.040577127143
175.0800018310547,236.38151580424872
305.17999267578125,276.4596941236156
307.25,284.1165935405343
121.4800033569336,121.60002984822262
214.72000122070312,226.01629625800385
122.12999725341795,121.24734717831802
171.91000366210938,181.29551853943826
122.4000015258789,119.14174933995665
121.9800033569336,133.40473278969867
125.30999755859376,127.65451691353712
116.30999755859376,127.34395023018632
184.6100006103516,177.97823246812806
184.7400054931641,194.5088373627831
315.4800109863281,296.5737621044966
270.3099975585937,255.6293868715839
187.8500061035156,211.73452042203624
119.4800033569336,111.19704529565547
176.35000610351562,143.58609957289022
120.27999877929688,134.17492363474204
268.3699951171875,270.8487225488534
122.66999816894533,115.00914545163354
126.3000030517578,124.64436347480859
182.7100067138672,169.66293673224894
113.8000030517578,131.81731907542334
177.14999389648438,152.44191756621012
124.52999877929688,121.52087047620603
119.18000030517578,111.67988517820783
252.8300018310547,240.21937411434357
170.9600067138672,159.25052221088572
115.80999755859376,135.84061637662066
115.83999633789062,113.95443062214326
273.7099914550781,291.16552747415886
178.6999969482422,151.53549675151442
124.18000030517578,140.6387327393241
211.6000061035156,247.13175226551328
161.77000427246094,154.1558255708061
167.80999755859375,166.44898094265773
137.42999267578125,138.8030024186453
178.38999938964844,144.53260023853483
183.97000122070312,200.75244104747657
169.38999938964844,169.22860610098456
118.86000061035156,121.40194615722254
172.5800018310547,178.5171172795485
168.63999938964844,158.19445812440313
172.0800018310547,147.7640143582605
303.6000061035156,280.66000209435816
250.9600067138672,289.5224934574066
309.07000732421875,278.09393692301353
169.22000122070312,153.60177819769297
179.72999572753906,181.01957697642666
120.62000274658205,120.86048524266951
399.2900085449219,349.1189376810811
213.5399932861328,216.97701330301538
451.7900085449219,335.4914161439625
115.8000030517578,129.62643551215066
118.72000122070312,116.05537423813706
162.75999450683594,152.24559460205748
120.75,116.3843057395546
166.35000610351562,165.61253613235795
308.07000732421875,284.16419396434895
368.30999755859375,332.6401119650106
184.52999877929688,222.1393726667351
182.97000122070312,219.90750062735304
121.55999755859376,120.75726398040462
187.8600006103516,297.069342991263
179.5399932861328,184.56887783445129
112.69000244140624,124.98157337244476
114.33000183105467,125.91457650841664
196.00999450683597,235.76662056128703
171.58999633789062,170.3059646317349
181.42999267578125,189.37913175014586
169.35000610351562,144.09249600180448
121.51000213623048,138.3450479620173
160.22999572753906,157.4284549015998
112.0500030517578,131.23269041766446
232.6199951171875,229.22755662330496
162.91000366210938,157.50270308103669
192.00999450683597,262.4963773030457
123.5999984741211,132.41725348507916
118.1500015258789,132.109156441101
163.66000366210938,155.3980176142054
180.63999938964844,194.95521473759726
120.13999938964844,122.05526990108581
128.07000732421875,125.58623724754966
217.22000122070312,230.28092975836742
157.8699951171875,172.3136122957603
281.1099853515625,266.6408765488577
140.63999938964844,136.3608430139664
307.4700012207031,293.09391120924585
169.61000061035156,170.53016176300824
223.25,243.32106360063423
163.63999938964844,164.71296042754983
147.97000122070312,144.02329660976983
115.62000274658205,129.98162274580724
118.58000183105467,130.72403725120466
181.22000122070312,153.2358305932622
174.5399932861328,189.78710390125116
118.94000244140624,113.86381918268643
219.58999633789065,238.65633223968604
122.79000091552734,118.92274574995335
114.73999786376952,123.24853433030071
128.07000732421875,125.50471475505663
246.97999572753903,239.55187797516692
181.8800048828125,188.3594913614649
165.44000244140625,170.59676820119176
218.08999633789065,215.27924132108498
121.51000213623048,120.9748190547856
165.4199981689453,159.4849959091563
215.0399932861328,237.51509108420214
215.72000122070312,236.17044072676228
180.5399932861328,188.11628800642114
178.27000427246094,190.77587327839552
118.9000015258789,113.26585842493893
169.2100067138672,151.42584012671173
117.43000030517578,130.24265752266655
182.9499969482422,201.88956059934418
143.13999938964844,144.20456388476546
117.5500030517578,123.67813494657588
201.19000244140625,209.71419841110747
272.2099914550781,234.81365735431925
121.51000213623048,135.5175088023641
113.26000213623048,115.91549978988459
123.70999908447266,130.98202139912013
118.93000030517578,123.11524451811079
165.5,178.9368085253141
176.44000244140625,146.3276931135108
306.1199951171875,292.54458435893434
167.74000549316406,152.4235257979047
189.30999755859372,209.11737392164062
117.68000030517578,115.29498307195817
126.16000366210938,115.42962617508218
168.55999755859375,154.28432663222645
253.32000732421875,230.45608646797476
186.4900054931641,188.5061584778084
121.12999725341795,120.71946269374146
172.1699981689453,146.90025001884555
141.52999877929688,139.73046127579244
165.1199951171875,168.1440293687405
124.58999633789062,133.4099988899791
160.6999969482422,177.6846183102671
175.69000244140625,146.15447926814477
118.6500015258789,131.5275882799561
185.1100006103516,189.30441920132895
304.5,290.2333085261957
172.8300018310547,166.97289916011044
121.8000030517578,135.4186431587442
117.91000366210938,114.45854463484937
120.8000030517578,125.8771487622613
184.55999755859372,196.55903472873183
160.50999450683594,161.60296752391267
164.94000244140625,162.01482575398632
167.77000427246094,169.7672127330136
127.61000061035156,126.7878620757644
159.13999938964844,161.54895633682108
185.1000061035156,215.60677539139104
133.63999938964844,138.03090625080097
125.1500015258789,145.04243320899383
153.75,167.51201900587898
182.4499969482422,147.20959854467637
112.5999984741211,130.10771253498677
148.47000122070312,145.27500529719083
200.9900054931641,198.2783096054916
422.2300109863281,315.0529017255547
308.3900146484375,273.8488174746331
268.6199951171875,265.22228650384903
170.42999267578125,170.0763433754734
386.4400024414063,323.52014327610425
116.25,117.58383707152188
165.8800048828125,154.73097817194426
170.75999450683594,184.37451661416878
119.26000213623048,122.1041494144117
307.1400146484375,276.40823476648853
119.2300033569336,114.71722394496061
253.1300048828125,247.02852983401638
121.95999908447266,120.7640135360229
