Actual,Predicted
182.0399932861328,181.72075828795408
115.66999816894533,115.76570572917578
214.2100067138672,214.45355901825707
115.8499984741211,115.73370359374803
172.49000549316406,171.90666833927688
164.66000366210938,164.98080851585812
191.50999450683597,184.32520526044948
220.92999267578125,220.54356083825775
243.44000244140625,243.81699239677482
188.75,188.67216517413272
170.6199951171875,170.82450959376902
113.0500030517578,113.58933268360727
169.89999389648438,170.01851605760396
126.19000244140624,126.61500841353228
166.75,166.56965570860007
114.7699966430664,114.9549095163072
179.05999755859375,180.34467447236398
121.7699966430664,121.62287019238957
398.5700073242188,398.7322211602692
115.77999877929688,122.31137861176484
243.4900054931641,244.1326719962612
161.52999877929688,161.82771380837715
232.3500061035156,232.2342137982355
119.94000244140624,119.75953464038633
183.75,183.74560385630156
389.0499877929688,390.97071356566823
114.5199966430664,114.81233438550564
154.64999389648438,156.77860792980982
182.32000732421875,182.81594136173453
143.6999969482422,143.58526175884353
307.5899963378906,306.5153649942585
167.7899932861328,167.7194555712701
221.22000122070312,220.68058695554177
183.5,182.02165063281473
170.25999450683594,170.86145811536227
187.6000061035156,187.41238492511428
133.4199981689453,133.49481205541997
107.58999633789062,108.31664175511506
158.5399932861328,159.05114901581922
183.7700042724609,183.46933985604727
255.17999267578125,254.61341636593568
188.58999633789065,188.72385185066094
399.0199890136719,398.3575152037958
179.89999389648438,180.08037338120778
167.0399932861328,167.15522165878014
167.47999572753906,167.11287075071604
385.4200134277344,386.43814195136787
178.3800048828125,177.91370037716925
115.13999938964844,115.42360000923571
179.94000244140625,175.45007234598458
138.6199951171875,138.70047656945513
174.0500030517578,173.81359147448515
114.16999816894533,113.75177682843147
168.83999633789062,168.81405851134224
140.69000244140625,141.00032089378598
220.6300048828125,220.4721987111177
183.88999938964844,183.899158451642
200.3500061035156,199.88907476227473
157.49000549316406,157.70218156022509
170.33999633789062,169.77064397012703
164.10000610351562,164.1649992006074
175.0800018310547,174.16523650564523
305.17999267578125,307.54593043451
307.25,307.68832409621444
121.4800033569336,121.19691272950826
214.72000122070312,215.30748709032548
122.12999725341795,121.90412495762715
171.91000366210938,171.75321949271125
122.4000015258789,122.59000529004007
121.9800033569336,121.75786936250259
125.30999755859376,125.10438593359808
116.30999755859376,116.07305652289955
184.6100006103516,185.11854045620714
184.7400054931641,185.16102673518844
315.4800109863281,312.97231707527135
270.3099975585937,269.3407785535093
187.8500061035156,187.83638868292041
119.4800033569336,119.44751282754396
176.35000610351562,175.90652588731956
120.27999877929688,120.26337225380718
268.3699951171875,267.7911146749523
122.66999816894533,122.40766465491075
126.3000030517578,126.1021547740634
182.7100067138672,182.11990265814904
113.8000030517578,113.9684923789952
177.14999389648438,177.57440699428682
124.52999877929688,123.73986182421004
119.18000030517578,119.12361521516397
252.8300018310547,253.1101495047044
170.9600067138672,170.4673313867617
115.80999755859376,116.01098175373093
115.83999633789062,116.15749687087512
273.7099914550781,276.6473666727012
178.6999969482422,178.75711451139222
124.18000030517578,123.3188594064734
